"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jul 01 18:06:51 CST 2020","Wed Jul 01 18:06:54 CST 2020","2574","","deposit_test","","","","test_deposit_card_success",""
"passed","Wed Jul 01 18:06:42 CST 2020","Wed Jul 01 18:06:51 CST 2020","9402","","deposit_test","","","","test_deposit_success_without_cards",""
"passed","Wed Jul 01 18:05:34 CST 2020","Wed Jul 01 18:05:36 CST 2020","2199","","login_test","","","","test_login_success",""
"passed","Wed Jul 01 18:05:36 CST 2020","Wed Jul 01 18:05:42 CST 2020","5879","","withdraw_test","","","","test_withdraw_success",""
"passed","Wed Jul 01 18:06:34 CST 2020","Wed Jul 01 18:06:36 CST 2020","2335","","withdraw_test","","","","test_withdraw_with_not_enough_money",""
"broken","Wed Jul 01 18:05:42 CST 2020","Wed Jul 01 18:06:34 CST 2020","51849","","withdraw_test","","","","test_withdraw_with_incomplete_and_fundpassword",""
"broken","Wed Jul 01 18:06:36 CST 2020","Wed Jul 01 18:06:42 CST 2020","5332","","withdraw_test","","","","test_withdraw_with_twenty_times",""
"passed","Wed Jul 01 18:06:54 CST 2020","Wed Jul 01 18:07:38 CST 2020","44835","","login_test","","","","test_login_failed",""
